Time;X Machine;Z Machine;Z Machine;Block time;
0:40:17;65.41;-12.5;-12.5;0:00:28;
0:40:19;67.91;-12.5;-12.5;0:00:02;
0:40:48;67.91;-12.5;-12.5;0:00:28;
0:40:55;60.41;-12.5;-12.5;0:00:07;
0:41:23;13.498;-12.5;-12.5;0:00:28;
0:41:25;10.998;-12.5;-12.5;0:00:02;
0:41:25;10.998;10.;10.;0:00:00;
0:41:25;10.998;10.;10.;0:00:00;
0:41:25;27.011;10.;10.;0:00:00;
0:41:26;27.011;-9.;-9.;0:00:00;
0:41:27;27.011;-12.5;-12.5;0:00:01;
0:41:32;35.812;-12.5;-12.5;0:00:05;
0:41:34;38.312;-12.5;-12.5;0:00:02;
0:41:41;38.312;-12.5;-12.5;0:00:06;
0:41:43;35.812;-12.5;-12.5;0:00:02;
0:41:49;27.011;-12.5;-12.5;0:00:05;
0:41:51;24.511;-12.5;-12.5;0:00:02;
0:41:58;24.511;-12.5;-12.5;0:00:06;
0:42:00;27.011;-12.5;-12.5;0:00:02;
0:42:00;27.011;10.;10.;0:00:00;
0:42:00;27.011;10.;10.;0:00:00;
0:42:00;64.435;10.;10.;0:00:00;
0:42:00;64.435;10.;10.;0:00:00;
0:42:00;64.435;10.;10.;0:00:00;
0:42:00;64.435;10.;10.;0:00:00;
0:42:00;64.435;10.;10.;0:00:00;
0:42:00;64.435;10.;10.;0:00:00;
